"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","RT @zioristorante: Double cut ribeye. Oh, my. #steak #dinner #nyc #italianfood https://t.co/thgPtHOYmG",FALSE,0,NA,2017-12-07 02:27:10,FALSE,NA,"938595711993729024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaraDISHnyc",1,TRUE,FALSE,NA,NA
"60","Love Popeyes Chicken &amp; Biscuits? Get $50 Free Lyft ride credit to get there free. Use Lyft Coupon Code: DEX #outtoeat #dinner #weekend #date",FALSE,0,NA,2017-12-07 02:10:46,FALSE,NA,"938591583502520320",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"61","#aws #startup #founders #dinner #ftw! @ Pera Soho https://t.co/mtNGWXTmBh",FALSE,0,NA,2017-12-07 01:32:31,FALSE,NA,"938581959785185280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nothingGrinder",0,FALSE,FALSE,"-74.00335","40.72388"
"62","Because eating #healthy is a form of self respect!<ed><U+00A0><U+00BD><ed><U+00B8><U+0089> My yummy #dinner <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #stuffedpepper #brownrice… https://t.co/y1cxkSAWFm",FALSE,0,NA,2017-12-07 01:32:03,FALSE,NA,"938581840960503808",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Jahypimentel",0,FALSE,FALSE,"-74.0064","40.7142"
"63","Love me some alphabet <ed><U+00A0><U+00BE><ed><U+00B5><U+00A3> <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #warmandcozy #dinner #picoftheday #foodporn #soup #inmybelly #photo… https://t.co/IPHU7n8vJq",FALSE,1,NA,2017-12-07 01:20:57,FALSE,NA,"938579047050809345",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MaryGenevaNYC",0,FALSE,FALSE,"-74.0064","40.7142"
"64","Yum #dinner https://t.co/xd01jOptgv",FALSE,0,NA,2017-12-07 00:46:50,FALSE,NA,"938570462774173696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EmpressOni",0,FALSE,FALSE,NA,NA
"65","You get a free Lyft to Bacchanalia #celebrate #atlanta #dinner Use the Lyft Code ZOOT",FALSE,1,NA,2017-12-06 23:46:35,FALSE,NA,"938555299568455680",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"66","Love Chick-fil-A? Get $50 Free Lyft ride credit to get there free. Use Lyft Code: BEG #munch #food #takeout #dinner",FALSE,0,NA,2017-12-06 23:30:31,FALSE,NA,"938551256875962369",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"67","Double cut ribeye. Oh, my. #steak #dinner #nyc #italianfood https://t.co/thgPtHOYmG",FALSE,0,NA,2017-12-06 22:08:50,FALSE,NA,"938530701053452291",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zioristorante",1,FALSE,FALSE,NA,NA
"68","#Ad A new way to order shwarma....from your own kitchen (cell phone not required). Oven roasted chicken/turkey shee… https://t.co/O5VPTIMDY0",FALSE,15,NA,2017-12-06 22:06:35,TRUE,NA,"938530132746211328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PerPortions",8,FALSE,FALSE,NA,NA
"69","I’m hungry but I don’t know what to have for dinner. That’s slightly annoying. #Dinner #DinnerIdeas",FALSE,0,NA,2017-12-06 21:57:36,FALSE,NA,"938527872536530945",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Astharteea",0,FALSE,FALSE,NA,NA
"70","RT @AHorth: Last chance to get your Mother Earth Kimberley Gala Dinner Tickets at https://t.co/PDXtfIETko #lastchance #gala #dinner #ticket…",FALSE,0,NA,2017-12-06 20:30:07,FALSE,NA,"938505854843699200",NA,"<a href=""http://www.joannavaiou.com"" rel=""nofollow"">My Tweet Machine JoannaVaiou.com</a>","hotelinabudhabi",2,TRUE,FALSE,NA,NA
"71","Which is your favorite #meal of the day? #BREAKFAST, #LUNCH or #DINNER? Tell me in the #comments… https://t.co/hKliOQENgQ",FALSE,0,NA,2017-12-06 19:45:57,TRUE,NA,"938494740764512262",NA,"<a href=""http://sociviral.com"" rel=""nofollow"">Sociviral Application</a>","your_smmpro",0,FALSE,FALSE,NA,NA
"72","Try my irresistible #Tuna Tartare as an appetizer, it’s easy to make, and an elegant addition to your next #holiday… https://t.co/Jc207100fp",FALSE,10,NA,2017-12-06 18:50:05,TRUE,NA,"938480680601866243",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","donatellaarpaia",2,FALSE,FALSE,NA,NA
"73","RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…",FALSE,0,NA,2017-12-06 17:09:52,FALSE,NA,"938455463242412032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","charm_martin",38,TRUE,FALSE,NA,NA
"74","Time to plan my annual #holiday #dinner party! Thx Nonna for giving us all the fun Santa table cloth.… https://t.co/Y817OimRed",FALSE,1,NA,2017-12-06 14:38:04,TRUE,NA,"938417258409484290",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SweetSincerely",0,FALSE,FALSE,NA,NA
"75","A to me: do you eat chicken butt? Me: .....is that a trick question? #taiwan #dinner",FALSE,1,NA,2017-12-06 13:08:42,FALSE,NA,"938394768589037572",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parisazo",0,FALSE,FALSE,NA,NA
"76","RT @AHorth: Last chance to get your Mother Earth Kimberley Gala Dinner Tickets at https://t.co/PDXtfIETko #lastchance #gala #dinner #ticket…",FALSE,0,NA,2017-12-06 12:57:12,FALSE,NA,"938391878474625024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmiratesPalace",2,TRUE,FALSE,NA,NA
